CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName,PowerSearchQuery
अमित कुमार पाठक,Amit Kumar Pathak,धनुषा,dhanusha,3,"(""अमित कुमार पाठक"" OR ""Amit Kumar Pathak"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
अरबिन्द कुमार पासवान,Arbind Kumar Paswan,धनुषा,dhanusha,3,"(""अरबिन्द कुमार पासवान"" OR ""Arbind Kumar Paswan"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
आनन्द दास तत्मा,Anand Das Tatma,धनुषा,dhanusha,3,"(""आनन्द दास तत्मा"" OR ""Anand Das Tatma"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
कृष्ण कुमार साह,Krishna Kumar Sah,धनुषा,dhanusha,3,"(""कृष्ण कुमार साह"" OR ""Krishna Kumar Sah"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
कृष्ण कुमार सुल्तानिया,Krishna Kumar Sultaniya,धनुषा,dhanusha,3,"(""कृष्ण कुमार सुल्तानिया"" OR ""Krishna Kumar Sultaniya"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
केवल ठाकुर,Keval Thakur,धनुषा,dhanusha,3,"(""केवल ठाकुर"" OR ""Keval Thakur"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
गंगा लक्ष्मी वैद्य,Ganga Lakshmi Vaidya,धनुषा,dhanusha,3,"(""गंगा लक्ष्मी वैद्य"" OR ""Ganga Lakshmi Vaidya"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
गोपाल प्रसाद साह,Gopal Prasad Sah,धनुषा,dhanusha,3,"(""गोपाल प्रसाद साह"" OR ""Gopal Prasad Sah"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
चन्दन कुमार झा,Chandan Kumar Jha,धनुषा,dhanusha,3,"(""चन्दन कुमार झा"" OR ""Chandan Kumar Jha"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
जुली कुमारी महतो (महासेठ),Juli Kumari Mahato (Mahaseth),धनुषा,dhanusha,3,"(""जुली कुमारी महतो (महासेठ)"" OR ""Juli Kumari Mahato (Mahaseth)"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
दिवाकर कुमार साह,Divakar Kumar Sah,धनुषा,dhanusha,3,"(""दिवाकर कुमार साह"" OR ""Divakar Kumar Sah"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
नबोनाथ ठाकुर,Nabonath Thakur,धनुषा,dhanusha,3,"(""नबोनाथ ठाकुर"" OR ""Nabonath Thakur"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
नवीन कुमार रंजन,Nabin Kumar Ranjan,धनुषा,dhanusha,3,"(""नवीन कुमार रंजन"" OR ""Nabin Kumar Ranjan"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
परमेश्‍वर साह सुडी,Parmeshwar Sah Sudi,धनुषा,dhanusha,3,"(""परमेश्‍वर साह सुडी"" OR ""Parmeshwar Sah Sudi"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
प्रदिप विक्रम साह,Pradip Vikram Sah,धनुषा,dhanusha,3,"(""प्रदिप विक्रम साह"" OR ""Pradip Vikram Sah"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
